bush,9-2015
rubio,9-2015
trump,4-2016
carson,3-2016
trump,11-2015
kasich,12-2015
clinton,4-2016
cruz,2-2016
carson,5-2015
christie,6-2015
cruz,1-2016
sanders,10-2015
bush,2-2016
bush,10-2015
christie,11-2015
paul,11-2015
cruz,12-2015
rubio,4-2015
cruz,8-2015
sanders,12-2015
paul,10-2015
kasich,5-2016
rubio,1-2016
sanders,11-2015
trump,1-2016
bush,8-2015
sanders,7-2015
cruz,5-2015
cruz,5-2016
sanders,4-2016
sanders,4-2015
christie,2-2016
christie,9-2015
clinton,3-2016
cruz,10-2015
rubio,3-2016
sanders,9-2015
christie,1-2016
cruz,6-2015
sanders,3-2016
carson,1-2016
bush,7-2015
sanders,2-2016
kasich,9-2015
carson,6-2015
paul,1-2016
rubio,7-2015
trump,3-2016
kasich,11-2015
christie,8-2015
clinton,11-2015
bush,12-2015
rubio,11-2015
bush,11-2015
rubio,6-2015
rubio,5-2015
kasich,3-2016
sanders,5-2015
sanders,6-2015
carson,9-2015
sanders,6-2016
paul,7-2015
christie,10-2015
kasich,2-2016
paul,12-2015
cruz,7-2015
clinton,12-2015
cruz,4-2016
cruz,4-2015
sanders,1-2016
paul,6-2015
carson,2-2016
carson,10-2015
clinton,10-2015
cruz,11-2015
trump,12-2015
kasich,4-2016
trump,10-2015
cruz,9-2015
kasich,7-2015
carson,8-2015
cruz,3-2016
cruz,3-2015
rubio,2-2016
rubio,12-2015
kasich,8-2015
paul,8-2015
clinton,2-2016
christie,12-2015
sanders,8-2015
clinton,1-2016
trump,8-2015
trump,9-2015
paul,5-2015
christie,7-2015
carson,7-2015
bush,1-2016
kasich,10-2015
trump,2-2016
kasich,1-2016
bush,6-2015
sanders,5-2016
paul,4-2015
paul,9-2015
rubio,10-2015
trump,6-2015
carson,12-2015
carson,11-2015
rubio,8-2015
trump,7-2015
