"","candidate","fit.fit","fit.lwr","fit.upr","se.fit","df","residual.scale"
"1","sanders",-0.561516015992794,-0.722716508350923,-0.400315523634665,0.0820020825311685,407,0.339630123321459
"2","clinton",-0.102109635457872,-0.154631142732875,-0.0495881281828698,0.0267174926777384,407,0.339630123321459
"3","trump",0.266390840840755,0.227722148245032,0.305059533436477,0.0196706180931644,407,0.339630123321459
"4","bush",0.418030046873397,0.377520716541765,0.458539377205028,0.0206069435678698,407,0.339630123321459
"5","christie",0.373668868836797,0.336184964948767,0.411152772724826,0.0190679205457252,407,0.339630123321459
"6","carson",0.63259908176421,0.585691732240313,0.679506431288108,0.023861591802285,407,0.339630123321459
"7","rubio",0.393631986085733,0.344155603753383,0.443108368418084,0.0251684491034152,407,0.339630123321459
"8","cruz",0.632566615723303,0.554185876595984,0.710947354850622,0.0398719863987332,407,0.339630123321459
"9","kasich",0.395164725428247,0.356662744087664,0.43366670676883,0.0195858127063891,407,0.339630123321459
"10","paul",NA,NA,NA,NA,407,0.339630123321459
